Kode Barang,Stock Opname,HOT,SO,PO
06150MFJ306,0.00,0.00,0.00,0.00
06150MKC306,0.00,0.00,0.00,0.00
06150MKF306,0.00,0.00,0.00,0.00
06154KYJ901,0.00,0.00,0.00,0.00
06156MKR305,0.00,0.00,0.00,0.00
06156MKR306,0.00,0.00,0.00,0.00
06160K18900,0.00,0.00,0.00,0.00
06160KPPT00,0.00,0.00,0.00,0.00
06160KYJ900,0.00,0.00,0.00,0.00
06160MKEA00,0.00,0.00,0.00,0.00
06160MKK305,0.00,0.00,0.00,0.00
06160MKZ305,0.00,0.00,0.00,0.00
06177MKH305,0.00,0.00,0.00,0.00
061A1439003,0.00,0.00,0.00,0.00
061A1GN8002,0.00,0.00,0.00,0.00
061A1KEG002,0.00,0.00,0.00,0.00
061A1KEH002,0.00,0.00,0.00,0.00
061A1KEH003,0.00,0.00,0.00,0.00
061A1KEV002,0.00,0.00,0.00,0.00
061A1KEV003,0.00,0.00,0.00,0.00
061A1KFL002,0.00,0.00,0.00,0.00
061A1KFL003,0.00,0.00,0.00,0.00
061A1KG2002,0.00,0.00,0.00,0.00
061A1KG2003,0.00,0.00,0.00,0.00
061A1KPH001,0.00,0.00,0.00,0.00
061A1KPH002,0.00,0.00,0.00,0.00
061A1KPH003,0.00,0.00,0.00,0.00
061A1KVB003,0.00,0.00,0.00,0.00
061A1KVY003,0.00,0.00,0.00,0.00
061A1KWB003,0.00,0.00,0.00,0.00
061A1KWC004,0.00,0.00,0.00,0.00
061B1439000,0.00,0.00,0.00,0.00
061B1GN8002,0.00,0.00,0.00,0.00
061B1KB9002,0.00,0.00,0.00,0.00
061B1KEH002,0.00,0.00,0.00,0.00
061B1KEH003,0.00,0.00,0.00,0.00
061B1KEV002,0.00,0.00,0.00,0.00
061B1KEV003,0.00,0.00,0.00,0.00
061B1KFL002,0.00,0.00,0.00,0.00
061B1KFL003,0.00,0.00,0.00,0.00
061B1KPH002,0.00,0.00,0.00,0.00
061B1KPH003,0.00,0.00,0.00,0.00
061B1KVB003,0.00,0.00,0.00,0.00
061B1KVY003,0.00,0.00,0.00,0.00
061B1KWB003,0.00,0.00,0.00,0.00
061B1KWC003,0.00,0.00,0.00,0.00
061C1K1Z000,0.00,0.00,0.00,0.00
06221KEH305,0.00,0.00,0.00,0.00
06230K87315,0.00,0.00,0.00,0.00
06230KZZ315,0.00,0.00,0.00,0.00
06351MKCA01,0.00,0.00,0.00,0.00
06353MR5306,0.00,0.00,0.00,0.00
06353MT4306,0.00,0.00,0.00,0.00
06370MGZ305,0.00,0.00,0.00,0.00
06370MKH306,0.00,0.00,0.00,0.00
06381GF6300,0.00,0.00,0.00,0.00
06381KEV880,0.00,0.00,0.00,0.00
06381KFM901,0.00,0.00,0.00,0.00
06381KPH900,2.00,0.00,0.00,0.00
06381KVB930,3.00,0.00,0.00,0.00
06381KVY960,0.00,0.00,0.00,0.00
06381KWB920,0.00,0.00,0.00,0.00
06381KWC900,0.00,0.00,0.00,0.00
06381KWW920,0.00,0.00,0.00,0.00
06381KWWA80,0.00,0.00,0.00,0.00
06381KZLA00,3.00,0.00,0.00,0.00
06381KZR600,0.00,0.00,0.00,0.00
06401K15900,0.00,0.00,0.00,0.00
06401K18900,0.00,0.00,0.00,0.00
06401K41N01,0.00,0.00,0.00,0.00
06401K45N01,0.00,0.00,0.00,0.00
06401K45N41,0.00,0.00,0.00,0.00
06401K45NA0,0.00,0.00,0.00,0.00
06401K56N00,0.00,0.00,0.00,0.00
06401K56N11,0.00,0.00,0.00,0.00
06401K84900,0.00,0.00,0.00,0.00
06401KCJ690,0.00,0.00,0.00,0.00
06401KCJ691,0.00,0.00,0.00,0.00
06401KEH900,0.00,0.00,0.00,0.00
06401KEV881,2.00,0.00,0.00,0.00
06401KPH881,4.00,0.00,0.00,0.00
06401KTL700,0.00,0.00,0.00,0.00
06401KWB900,7.00,0.00,0.00,0.00
06401KWC900,0.00,0.00,0.00,0.00
06401KWW900,1.00,0.00,0.00,0.00
06401KYE900,0.00,0.00,0.00,0.00
06401KYZ900,0.00,0.00,0.00,0.00
06406K0FD10,0.00,0.00,0.00,0.00
06406MFL601,0.00,0.00,0.00,0.00
06406MGZD00,0.00,0.00,0.00,0.00
06406MGZD01,0.00,0.00,0.00,0.00
06406MJED00,0.00,0.00,0.00,0.00
06406MJLD30,0.00,0.00,0.00,0.00
06406MJSD70,0.00,0.00,0.00,0.00
06406MKHD01,0.00,0.00,0.00,0.00
06406MKHD02,0.00,0.00,0.00,0.00
06410GCR000,0.00,0.00,0.00,0.00
06410KEA750,0.00,0.00,0.00,0.00
06410KR3620,0.00,0.00,0.00,0.00
06410KSP900,0.00,0.00,0.00,0.00
06410KWB600,0.00,0.00,0.00,0.00
06410MBB000,0.00,0.00,0.00,0.00
06410MELD20,0.00,0.00,0.00,0.00
06410MERD00,0.00,0.00,0.00,0.00
06410MFJD00,0.00,0.00,0.00,0.00
06410MGSD30,0.00,0.00,0.00,0.00
06420K2ET00,0.00,0.00,0.00,0.00
06420K58N50,0.00,0.00,0.00,0.00
06420K84900,0.00,0.00,0.00,0.00
06420KZZ900,0.00,0.00,0.00,0.00
06420MJPG51,0.00,0.00,0.00,0.00
06420MKHD01,0.00,0.00,0.00,0.00
06420MKKD00,0.00,0.00,0.00,0.00
06420MKTD00,0.00,0.00,0.00,0.00
06421K2ET00,0.00,0.00,0.00,0.00
06421K58N50,0.00,0.00,0.00,0.00
06421K84900,0.00,0.00,0.00,0.00
06421MJPG51,0.00,0.00,0.00,0.00
06421MKHD01,0.00,0.00,0.00,0.00
06421MKKD00,0.00,0.00,0.00,0.00
06421MKTD00,0.00,0.00,0.00,0.00
06422MJPG51,0.00,0.00,0.00,0.00
06422MKHD01,0.00,0.00,0.00,0.00
06422MKKD00,0.00,0.00,0.00,0.00
06422MKTD00,0.00,0.00,0.00,0.00
06430GGZJ00,0.00,0.00,0.00,0.00
06430K44V80,0.00,0.00,0.00,0.00
06430KEH880,0.00,0.00,0.00,0.00
06430KGA900,0.00,0.00,0.00,0.00
06430KPH900,0.00,0.00,0.00,0.00
06430KSY880,0.00,0.00,0.00,0.00
06430KVR600,0.00,0.00,0.00,0.00
06430KWN900,0.00,0.00,0.00,0.00
06430KZL930,0.00,0.00,0.00,0.00
06431MA3405,0.00,0.00,0.00,0.00
06431MJTE01,0.00,0.00,0.00,0.00
06435K07901,0.00,0.00,0.00,0.00
06435K0BT01,0.00,0.00,0.00,0.00
06435K0FD11,0.00,0.00,0.00,0.00
06435K0FT01,0.00,0.00,0.00,0.00
06435K0RV01,0.00,0.00,0.00,0.00
06435K26G01,0.00,0.00,0.00,0.00
06435K40F11,0.00,0.00,0.00,0.00
06435K56N01,0.00,0.00,0.00,0.00
06435K64N01,0.00,0.00,0.00,0.00
06435K97N01,5.00,0.00,0.00,0.00
06435KPP901,2.00,0.00,0.00,0.00
06435KPP902,0.00,0.00,0.00,0.00
06435KPPT01,0.00,0.00,0.00,0.00
06435KREG31,0.00,0.00,0.00,0.00
06435KREG32,0.00,0.00,0.00,0.00
06435KSPB01,0.00,0.00,0.00,0.00
06435KSPB02,0.00,0.00,0.00,0.00
06435KTYH51,0.00,0.00,0.00,0.00
06435KWC901,0.00,0.00,0.00,0.00
06435KYJ901,0.00,0.00,0.00,0.00
06435KZZ901,0.00,0.00,0.00,0.00
06435KZZ902,0.00,0.00,0.00,0.00
06435MCA016,0.00,0.00,0.00,0.00
06435MCA026,0.00,0.00,0.00,0.00
06435MEJ026,0.00,0.00,0.00,0.00
06435MELD22,0.00,0.00,0.00,0.00
06435MELD23,0.00,0.00,0.00,0.00
06435MGSD31,0.00,0.00,0.00,0.00
06435MGSD32,0.00,0.00,0.00,0.00
06435MGZJ01,0.00,0.00,0.00,0.00
06435MGZJ02,0.00,0.00,0.00,0.00
06435MJTE01,0.00,0.00,0.00,0.00
06435MKCA01,0.00,0.00,0.00,0.00
06435MKEAA1,0.00,0.00,0.00,0.00
06436MCT016,0.00,0.00,0.00,0.00
06436MEH006,0.00,0.00,0.00,0.00
06436MJTE01,0.00,0.00,0.00,0.00
06437MJTE01,0.00,0.00,0.00,0.00
0643AKVY700,0.00,0.00,0.00,0.00
06440K2ET00,0.00,0.00,0.00,0.00
06440K58N50,0.00,0.00,0.00,0.00
06440K84900,0.00,0.00,0.00,0.00
06440KZZ900,0.00,0.00,0.00,0.00
06440MJPG51,0.00,0.00,0.00,0.00
06440MKHD00,0.00,0.00,0.00,0.00
06440MKKD00,0.00,0.00,0.00,0.00
06441K2ET00,0.00,0.00,0.00,0.00
06441K58N50,0.00,0.00,0.00,0.00
06441K84900,0.00,0.00,0.00,0.00
06441MKHD00,0.00,0.00,0.00,0.00
06446GN5900,0.00,0.00,0.00,0.00
06451166405,0.00,0.00,0.00,0.00
06451443405,0.00,0.00,0.00,0.00
06451961405,0.00,0.00,0.00,0.00
06451GE2405,0.00,0.00,0.00,0.00
06451GE2406,0.00,0.00,0.00,0.00
06451K59A71,0.00,0.00,0.00,0.00
06451KEV650,0.00,0.00,0.00,0.00
06451KZZ901,0.00,0.00,0.00,0.00
06451KZZ902,0.00,0.00,0.00,0.00
06451MA7405,0.00,0.00,0.00,0.00
06451MA7406,0.00,0.00,0.00,0.00
06451MCJ751,0.00,0.00,0.00,0.00
06451MCZ006,0.00,0.00,0.00,0.00
06451MEL003,0.00,0.00,0.00,0.00
06451MGPD81,0.00,0.00,0.00,0.00
06451MKRD11,0.00,0.00,0.00,0.00
06451MLCD01,0.00,0.00,0.00,0.00
06451MZ2405,0.00,0.00,0.00,0.00
06452MAK003,0.00,0.00,0.00,0.00
06452MCZ006,0.00,0.00,0.00,0.00
06452MEL003,0.00,0.00,0.00,0.00
06452MGPD81,0.00,0.00,0.00,0.00
06454MCA307,0.00,0.00,0.00,0.00
06455K20911,0.00,0.00,0.00,0.00
06455K20912,0.00,0.00,0.00,0.00
06455K26921,0.00,0.00,0.00,0.00
06455K29D01,0.00,0.00,0.00,0.00
06455K31901,0.00,0.00,0.00,0.00
06455K31902,0.00,0.00,0.00,0.00
06455K33D51,0.00,0.00,0.00,0.00
06455K33D52,0.00,0.00,0.00,0.00
06455K40F11,0.00,0.00,0.00,0.00
06455K40F12,0.00,0.00,0.00,0.00
06455K46N21,3.00,0.00,0.00,0.00
06455K56N01,0.00,0.00,0.00,0.00
06455K59A71,9.00,0.00,0.00,0.00
06455K84901,0.00,0.00,0.00,0.00
06455K84902,0.00,0.00,0.00,0.00
06455KPP901,7.00,0.00,0.00,0.00
06455KPP902,0.00,0.00,0.00,0.00
06455KPPN01,2.00,0.00,0.00,0.00
06455KPPN02,0.00,0.00,0.00,0.00
06455KR3404,2.00,0.00,0.00,0.00
06455KREK01,0.00,0.00,0.00,0.00
06455KREK02,5.00,0.00,0.00,0.00
06455KVB401,5.00,0.00,0.00,0.00
06455KVB912,0.00,0.00,0.00,0.00
06455KVBT01,5.00,0.00,0.00,0.00
06455KVY911,8.00,0.00,0.00,0.00
06455KW6844,0.00,0.00,0.00,0.00
06455KWB601,1.00,0.00,0.00,0.00
06455KWC901,0.00,0.00,0.00,0.00
06455KWF951,0.00,0.00,0.00,0.00
06455KWN931,0.00,0.00,0.00,0.00
06455KYE901,0.00,0.00,0.00,0.00
06455KYJ901,0.00,0.00,0.00,0.00
06455KYJ911,0.00,0.00,0.00,0.00
06455KYJ912,0.00,0.00,0.00,0.00
06455KZL931,0.00,0.00,0.00,0.00
06455KZL932,0.00,0.00,0.00,0.00
06455MCA016,0.00,0.00,0.00,0.00
06455MGPD81,0.00,0.00,0.00,0.00
06455MGSD31,0.00,0.00,0.00,0.00
06455MGSD32,0.00,0.00,0.00,0.00
06455MJED02,0.00,0.00,0.00,0.00
06455MJMD41,0.00,0.00,0.00,0.00
06455MJPG52,0.00,0.00,0.00,0.00
06455MKCA01,0.00,0.00,0.00,0.00
06455MKFD41,0.00,0.00,0.00,0.00
06455MKFD61,0.00,0.00,0.00,0.00
06455MKHD01,0.00,0.00,0.00,0.00
06455MKKD01,0.00,0.00,0.00,0.00
06455MKND51,0.00,0.00,0.00,0.00
06455MKPDQ1,0.00,0.00,0.00,0.00
06455MKRD11,0.00,0.00,0.00,0.00
06455MLCD01,0.00,0.00,0.00,0.00
06456MCA016,0.00,0.00,0.00,0.00
06530GBGB20,0.00,0.00,0.00,0.00
06531GBGB20,0.00,0.00,0.00,0.00
06531KW6840,0.00,0.00,0.00,0.00
06535041010,0.00,0.00,0.00,0.00
06535GN5505,3.00,0.00,0.00,0.00
06535KTR900,0.00,0.00,0.00,0.00
06570MKP306,0.00,0.00,0.00,0.00
06775MCA960ZA,0.00,0.00,0.00,0.00
06775MCAJ60ZB,0.00,0.00,0.00,0.00
06890KWN305,0.00,0.00,0.00,0.00
06910MCA000,0.00,0.00,0.00,0.00
06945MKK305,0.00,0.00,0.00,0.00
07000T400000,0.00,0.00,0.00,0.00
07000T450000,0.00,0.00,0.00,0.00
0702S002000IN,0.00,0.00,0.00,0.00
070AATBA0100,0.00,0.00,0.00,0.00
070MAK640100,0.00,0.00,0.00,0.00
070MAK640100IN,0.00,0.00,0.00,0.00
070MAMGE0101,0.00,0.00,0.00,0.00
070MAMGE0201,0.00,0.00,0.00,0.00
070MAMGP0100,0.00,0.00,0.00,0.00
070MAMKC0100,0.00,0.00,0.00,0.00
070MAMKS0100,0.00,0.00,0.00,0.00
070MAMKS0200,0.00,0.00,0.00,0.00
070MBK1B0100IN,0.00,0.00,0.00,0.00
070MBMCS0100,0.00,0.00,0.00,0.00
070MBMEL0100,0.00,0.00,0.00,0.00
070MBMELC100,0.00,0.00,0.00,0.00
070MBMFL0100,0.00,0.00,0.00,0.00
070MBMGP0100,0.00,0.00,0.00,0.00
070MBMJC0100,0.00,0.00,0.00,0.00
070MBMJT0100,0.00,0.00,0.00,0.00
070MBMJT0200,0.00,0.00,0.00,0.00
070MBMJT0300,0.00,0.00,0.00,0.00
070MBMJT0400,0.00,0.00,0.00,0.00
070MBMKC0100,0.00,0.00,0.00,0.00
070MBMKS0100,0.00,0.00,0.00,0.00
070MCMFR0100,0.00,0.00,0.00,0.00
070MCMGE0101,0.00,0.00,0.00,0.00
070MDK200100,0.00,0.00,0.00,0.00
070MDMKC0100,0.00,0.00,0.00,0.00
070MEK1B0100IN,0.00,0.00,0.00,0.00
070MEMCW0100,0.00,0.00,0.00,0.00
070MEMJT0100,0.00,0.00,0.00,0.00
070MFKTWR100,0.00,0.00,0.00,0.00
070MFKYJ0100,0.00,0.00,0.00,0.00
070MFMBZC110,0.00,0.00,0.00,0.00
070MFMBZC110IN,0.00,0.00,0.00,0.00
070MFMBZC120,0.00,0.00,0.00,0.00
070MFMBZC130,0.00,0.00,0.00,0.00
070MFMBZC130IN,0.00,0.00,0.00,0.00
070MFMCJ0100,0.00,0.00,0.00,0.00
070MFMCJ0200,0.00,0.00,0.00,0.00
070MFMEC0400,0.00,0.00,0.00,0.00
070MFMEN0100,0.00,0.00,0.00,0.00
070MFMEN0100IN,0.00,0.00,0.00,0.00
070MFMKC0100,0.00,0.00,0.00,0.00
070MFMKC0200,0.00,0.00,0.00,0.00
070MFMKC0300,0.00,0.00,0.00,0.00
070MG0010100,0.00,0.00,0.00,0.00
070MG0010100IN,0.00,0.00,0.00,0.00
070MGMKC0100,0.00,0.00,0.00,0.00
070MGMKC0200,0.00,0.00,0.00,0.00
070MHMJT0100,0.00,0.00,0.00,0.00
070MHMJT0200,0.00,0.00,0.00,0.00
070MHMKR0100,0.00,0.00,0.00,0.00
070MJ0010101,0.00,0.00,0.00,0.00
070MJK260100,0.00,0.00,0.00,0.00
070MJKPHT200,0.00,0.00,0.00,0.00
070MJMJT0100,0.00,0.00,0.00,0.00
070MJMJT0200,0.00,0.00,0.00,0.00
070MJMKC0100,0.00,0.00,0.00,0.00
070MKK400100,0.00,0.00,0.00,0.00
070MKMJT0100,0.00,0.00,0.00,0.00
070MZ0010300,0.00,0.00,0.00,0.00
070MZ0010300IN,0.00,0.00,0.00,0.00
070MZK530100,0.00,0.00,0.00,0.00
070MZMEC0101,0.00,0.00,0.00,0.00
070MZMGE0100,0.00,0.00,0.00,0.00
070MZMKC0100,0.00,0.00,0.00,0.00
070MZMKC0200,0.00,0.00,0.00,0.00
070PDZX20100,0.00,0.00,0.00,0.00
070PHZ0D0100,0.00,0.00,0.00,0.00
070PZZY30100,0.00,0.00,0.00,0.00
070PZZY3010L,0.00,0.00,0.00,0.00
072240050002IN,0.00,0.00,0.00,0.00
072250030000IN,0.00,0.00,0.00,0.00
072KLFFBWSL,0.00,0.00,0.00,0.00
07300CBRRED,0.00,0.00,0.00,0.00
07300K64A00,0.00,0.00,0.00,0.00
073030000001,0.00,0.00,0.00,0.00
073030000002,0.00,0.00,0.00,0.00
073030030001,0.00,0.00,0.00,0.00
073030050001,0.00,0.00,0.00,0.00
073030060001,0.00,0.00,0.00,0.00
073030100001,0.00,0.00,0.00,0.00
073030150001,0.00,0.00,0.00,0.00
073030250001,0.00,0.00,0.00,0.00
07303102010,0.00,0.00,0.00,0.00
07303SIW01SD,0.00,0.00,0.00,0.00
07308000LIB,0.00,0.00,0.00,0.00
0730800BTJ85,0.00,0.00,0.00,0.00
073080MB2020,0.00,0.00,0.00,0.00
07308MB2040N,0.00,0.00,0.00,0.00
073400007010,0.00,0.00,0.00,0.00
073400010000,0.00,0.00,0.00,0.00
07340001000D,0.00,0.00,0.00,0.00
073400182111,0.00,0.00,0.00,0.00
073400182131,0.00,0.00,0.00,0.00
07341001000N,0.00,0.00,0.00,0.00
07341002000N,0.00,0.00,0.00,0.00
07341003000N,0.00,0.00,0.00,0.00
07341D293230,0.00,0.00,0.00,0.00
07341D293231,0.00,0.00,0.00,0.00
07342000T362,0.00,0.00,0.00,0.00
07342001000N,0.00,0.00,0.00,0.00
07342004000N,0.00,0.00,0.00,0.00
07342005000N,0.00,0.00,0.00,0.00
07342006000N,0.00,0.00,0.00,0.00
07342007000N,0.00,0.00,0.00,0.00
07342008000N,0.00,0.00,0.00,0.00
0734200CL25N,0.00,0.00,0.00,0.00
0734200KE303,0.00,0.00,0.00,0.00
0734200QL025N,0.00,0.00,0.00,0.00
0734200QL040N,0.00,0.00,0.00,0.00
0734200QL100N,0.00,0.00,0.00,0.00
0734200QL200N,0.00,0.00,0.00,0.00
0734200RT100,0.00,0.00,0.00,0.00
0734200SH10D,0.00,0.00,0.00,0.00
073420SK6592,0.00,0.00,0.00,0.00
0734230500223,0.00,0.00,0.00,0.00
0734234525110,0.00,0.00,0.00,0.00
0734290FN922,0.00,0.00,0.00,0.00
07342BT35000,0.00,0.00,0.00,0.00
07342KE20100,0.00,0.00,0.00,0.00
07342KE2010N,0.00,0.00,0.00,0.00
07342KE5070N,0.00,0.00,0.00,0.00
07342KEKATMB30,0.00,0.00,0.00,0.00
07342KF2164,0.00,0.00,0.00,0.00
07342KLIN25EN,0.00,0.00,0.00,0.00
07342KLINN50L,0.00,0.00,0.00,0.00
07342LTD50623,0.00,0.00,0.00,0.00
07342NTD00623,0.00,0.00,0.00,0.00
07342RNTD0623,0.00,0.00,0.00,0.00
07342RTD50623,0.00,0.00,0.00,0.00
07342STARNICT3,0.00,0.00,0.00,0.00
07343003000N,0.00,0.00,0.00,0.00
07343003MT35,0.00,0.00,0.00,0.00
07343003MT36,0.00,0.00,0.00,0.00
07343003MT38,0.00,0.00,0.00,0.00
073450020000,0.00,0.00,0.00,0.00
07345CRF00IN,0.00,0.00,0.00,0.00
07345K6400IN,0.00,0.00,0.00,0.00
07345KF1710N,0.00,0.00,0.00,0.00
0736200071023,0.00,0.00,0.00,0.00
0736200081023,0.00,0.00,0.00,0.00
0736200091023,0.00,0.00,0.00,0.00
0736200101023,0.00,0.00,0.00,0.00
0736200111023,0.00,0.00,0.00,0.00
0736200500001R,0.00,0.00,0.00,0.00
07362005000029,0.00,0.00,0.00,0.00
073620050000A,0.00,0.00,0.00,0.00
073620050000R,0.00,0.00,0.00,0.00
073620050001A,0.00,0.00,0.00,0.00
073620050002IN,0.00,0.00,0.00,0.00
073620050200,0.00,0.00,0.00,0.00
073620050200R,0.00,0.00,0.00,0.00
073620060000,0.00,0.00,0.00,0.00
07362BL5000H,0.00,0.00,0.00,0.00
07362BL5000P,0.00,0.00,0.00,0.00
07362OLIPUMP,0.00,0.00,0.00,0.00
073650020000,0.00,0.00,0.00,0.00
073710000001,0.00,0.00,0.00,0.00
073710000021,0.00,0.00,0.00,0.00
073710000060,0.00,0.00,0.00,0.00
0737100000723,0.00,0.00,0.00,0.00
073710000150,0.00,0.00,0.00,0.00
0737100010224,0.00,0.00,0.00,0.00
0737100010623,0.00,0.00,0.00,0.00
0737100010823,0.00,0.00,0.00,0.00
0737100010923,0.00,0.00,0.00,0.00
0737100011023,0.00,0.00,0.00,0.00
0737100021023,0.00,0.00,0.00,0.00
0737100030323,0.00,0.00,0.00,0.00
0737100031023,0.00,0.00,0.00,0.00
0737100040323,0.00,0.00,0.00,0.00
0737100041023,0.00,0.00,0.00,0.00
0737100051023,0.00,0.00,0.00,0.00
0737100061023,0.00,0.00,0.00,0.00
0737100071023,0.00,0.00,0.00,0.00
0737100091023,0.00,0.00,0.00,0.00
07371000T15T,0.00,0.00,0.00,0.00
0737100101023,0.00,0.00,0.00,0.00
0737100111023,0.00,0.00,0.00,0.00
073710011311B,0.00,0.00,0.00,0.00
0737100121023,0.00,0.00,0.00,0.00
0737100131023,0.00,0.00,0.00,0.00
0737100141023,0.00,0.00,0.00,0.00
0737100151023,0.00,0.00,0.00,0.00
0737100161023,0.00,0.00,0.00,0.00
0737100171023,0.00,0.00,0.00,0.00
0737100181023,0.00,0.00,0.00,0.00
0737100191023,0.00,0.00,0.00,0.00
0737100201023,0.00,0.00,0.00,0.00
0737100211023,0.00,0.00,0.00,0.00
0737100221023,0.00,0.00,0.00,0.00
07371004KP31,0.00,0.00,0.00,0.00
0737100GDS14,0.00,0.00,0.00,0.00
0737100GDS18,0.00,0.00,0.00,0.00
0737113401M08,0.00,0.00,0.00,0.00
0737113401M10,0.00,0.00,0.00,0.00
0737113401M12,0.00,0.00,0.00,0.00
0737113760100,0.00,0.00,0.00,0.00
0737114405M24,0.00,0.00,0.00,0.00
0737114405M27,0.00,0.00,0.00,0.00
0737114405M30,0.00,0.00,0.00,0.00
0737114405M32,0.00,0.00,0.00,0.00
073713012M52,0.00,0.00,0.00,0.00
073713340C16,0.00,0.00,0.00,0.00
07371376075,0.00,0.00,0.00,0.00
073713768N250,0.00,0.00,0.00,0.00
07371KLIN0363,0.00,0.00,0.00,0.00
07371MTCDEVIN,0.00,0.00,0.00,0.00
07371PTCDEVIN,0.00,0.00,0.00,0.00
07371PTCDEVIN02,0.00,0.00,0.00,0.00
07371SETB1123,0.00,0.00,0.00,0.00
07371SETK1123,0.00,0.00,0.00,0.00
073730041L39,0.00,0.00,0.00,0.00
073730041L40,0.00,0.00,0.00,0.00
073730041L41,0.00,0.00,0.00,0.00
073730041L42,0.00,0.00,0.00,0.00
073730041L43,0.00,0.00,0.00,0.00
073730041L44,0.00,0.00,0.00,0.00
073BBKBK50LB,0.00,0.00,0.00,0.00
073KF15C1401B,0.00,0.00,0.00,0.00
074060030000,0.00,0.00,0.00,0.00
074060040004,0.00,0.00,0.00,0.00
074060040004IN,0.00,0.00,0.00,0.00
074060050000IN,0.00,0.00,0.00,0.00
075063000001,0.00,0.00,0.00,0.00
0760000010223,0.00,0.00,0.00,0.00
0760000010323,0.00,0.00,0.00,0.00
0760000011022,0.00,0.00,0.00,0.00
0760000020223,0.00,0.00,0.00,0.00
0760000020323,0.00,0.00,0.00,0.00
0760000021022,0.00,0.00,0.00,0.00
0760000050523,0.00,0.00,0.00,0.00
076000022FIN,0.00,0.00,0.00,0.00
07600002KP10,0.00,0.00,0.00,0.00
07600002KP50,0.00,0.00,0.00,0.00
076000040000,0.00,0.00,0.00,0.00
076000040001,0.00,0.00,0.00,0.00
076000040001R,0.00,0.00,0.00,0.00
076000040R08,0.00,0.00,0.00,0.00
076000040R10,0.00,0.00,0.00,0.00
076000040R12,0.00,0.00,0.00,0.00
076000046SET,0.00,0.00,0.00,0.00
07600004KP50,0.00,0.00,0.00,0.00
076000050000,0.00,0.00,0.00,0.00
076000060000,0.00,0.00,0.00,0.00
076000070000,0.00,0.00,0.00,0.00
076000080000,0.00,0.00,0.00,0.00
0760000B4L19,0.00,0.00,0.00,0.00
0760000BP1023,0.00,0.00,0.00,0.00
0760000JN1023,0.00,0.00,0.00,0.00
0760000JT1023,0.00,0.00,0.00,0.00
0760000KT1023,0.00,0.00,0.00,0.00
0760000ST1023,0.00,0.00,0.00,0.00
0760000TK1023,0.00,0.00,0.00,0.00
0760000VP250,0.00,0.00,0.00,0.00
0760008080W12,0.00,0.00,0.00,0.00
076001100P001,0.00,0.00,0.00,0.00
076002000P000,0.00,0.00,0.00,0.00
076002000P001,0.00,0.00,0.00,0.00
076002000P002,0.00,0.00,0.00,0.00
